SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su cerveza en sangre es  : 0.3su tasa de alcoholemia es: 0.10800002 En el barril quedan 25.200012 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su cerveza en sangre es  : 0.6su tasa de alcoholemia es: 0.21600004 En el barril quedan 24.000015 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su cerveza en sangre es  : 0.90000004su tasa de alcoholemia es: 0.324 En el barril quedan 19.500027 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su cerveza en sangre es  : 1.2su tasa de alcoholemia es: 0.43200007 En el barril quedan 17.400032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su cerveza en sangre es  : 1.5su tasa de alcoholemia es: 0.54 En el barril quedan 16.500034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su cerveza en sangre es  : 1.8su tasa de alcoholemia es: 0.648 En el barril quedan 15.3000345 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su cerveza en sangre es  : 2.1su tasa de alcoholemia es: 0.7559999 En el barril quedan 14.100034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su cerveza en sangre es  : 2.3999999su tasa de alcoholemia es: 0.86399996 En el barril quedan 11.700032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su cerveza en sangre es  : 2.6999998su tasa de alcoholemia es: 0.97199994 En el barril quedan 9.900031 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
